Location_ID,Time_ID,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
3,89,2016-02-11 05:56:00,7.0,-5.7,87.0,30.22,10.0,West,8.1,0.0,Night,Night,Night,Day
86,90,2016-02-11 06:16:00,15.4,0.0,70.0,30.18,10.0,Calm,0.0,0.0,Night,Night,Night,Day
87,91,2016-02-11 06:53:00,17.1,-0.3,59.0,30.12,10.0,NW,21.9,0.0,Night,Night,Day,Day
88,92,2016-02-11 06:53:00,6.1,-6.8,83.0,30.22,10.0,West,8.1,0.0,Night,Day,Day,Day
89,93,2016-02-11 07:15:00,5.0,-2.1,81.0,30.2,10.0,SW,3.5,0.0,Night,Day,Day,Day
90,94,2016-02-11 07:28:00,12.0,0.5,80.0,30.08,2.0,West,8.1,0.0,Night,Day,Day,Day
91,95,2016-02-11 07:54:00,7.0,0.0,77.0,30.24,10.0,North,0.0,0.0,Day,Day,Day,Day
92,96,2016-02-11 07:51:00,15.1,-1.6,51.0,30.18,10.0,NW,18.4,0.0,Day,Day,Day,Day
93,97,2016-02-11 07:53:00,9.0,0.0,77.0,30.26,9.0,Calm,0.0,0.0,Day,Day,Day,Day
94,98,2016-02-11 07:58:00,7.5,-1.1,87.0,30.28,10.0,SSW,4.6,0.0,Day,Day,Day,Day
57,99,2016-02-11 07:58:00,7.5,-1.1,87.0,30.28,10.0,SSW,4.6,0.0,Day,Day,Day,Day
95,100,2016-02-11 08:51:00,12.0,2.7,70.0,30.27,9.0,WNW,5.8,0.0,Day,Day,Day,Day
96,101,2016-02-11 08:53:00,12.0,1.5,77.0,30.26,10.0,West,6.9,0.0,Day,Day,Day,Day
97,102,2016-02-11 08:53:00,18.0,-0.2,54.0,30.16,10.0,WNW,25.3,0.0,Day,Day,Day,Day
98,103,2016-02-11 08:53:00,12.0,0.0,73.0,30.28,10.0,Calm,0.0,0.0,Day,Day,Day,Day
99,103,2016-02-11 08:56:00,10.9,0.2,77.0,30.29,10.0,WNW,6.9,0.0,Day,Day,Day,Day
56,104,2016-02-11 09:58:00,13.6,7.7,74.0,30.32,10.0,Variable,3.5,0.0,Day,Day,Day,Day
100,105,2016-02-11 09:35:00,10.4,2.2,78.0,30.25,10.0,South,4.6,0.0,Day,Day,Day,Day
101,106,2016-02-11 09:58:00,13.6,7.7,74.0,30.32,10.0,Variable,3.5,0.0,Day,Day,Day,Day
102,107,2016-02-11 10:56:00,18.0,6.1,68.0,30.32,10.0,WNW,10.4,0.0,Day,Day,Day,Day
103,108,2016-02-11 10:53:00,18.0,8.7,54.0,30.31,10.0,WNW,6.9,0.0,Day,Day,Day,Day
104,109,2016-02-11 10:58:00,18.5,7.5,62.0,30.32,10.0,WNW,9.2,0.0,Day,Day,Day,Day
105,110,2016-02-11 11:56:00,19.9,9.3,65.0,30.32,10.0,WNW,9.2,0.0,Day,Day,Day,Day
106,111,2016-02-11 11:56:00,19.9,9.3,65.0,30.32,10.0,WNW,9.2,0.0,Day,Day,Day,Day
107,112,2016-02-11 13:58:00,21.6,13.0,49.0,30.3,10.0,West,6.9,0.0,Day,Day,Day,Day
108,113,2016-02-11 13:58:00,21.6,13.0,49.0,30.3,10.0,West,6.9,0.0,Day,Day,Day,Day
109,114,2016-02-11 15:56:00,21.0,14.6,57.0,30.32,10.0,WNW,4.6,0.0,Day,Day,Day,Day
110,115,2016-02-11 16:56:00,21.0,11.4,57.0,30.33,10.0,North,8.1,0.0,Day,Day,Day,Day
111,116,2016-02-11 16:56:00,21.0,11.4,57.0,30.33,10.0,North,8.1,0.0,Day,Day,Day,Day
112,117,2016-02-11 17:58:00,21.0,11.4,51.0,30.34,10.0,NW,8.1,0.0,Night,Day,Day,Day
113,118,2016-02-11 18:51:00,19.0,0.0,57.0,30.34,9.0,Calm,0.0,0.0,Night,Night,Night,Day
114,119,2016-02-11 19:51:00,17.1,11.7,62.0,30.35,10.0,SW,3.5,0.0,Night,Night,Night,Day
115,120,2016-02-11 20:56:00,17.1,0.0,68.0,30.35,10.0,Calm,0.0,0.0,Night,Night,Night,Night
116,121,2016-02-12 16:13:00,26.6,14.3,59.0,30.04,10.0,West,16.1,0.0,Day,Day,Day,Day
117,122,2016-02-12 16:58:00,25.5,12.9,66.0,30.11,7.0,West,16.1,0.0,Day,Day,Day,Day
118,123,2016-02-12 17:50:00,23.0,11.1,80.0,30.03,3.0,West,12.7,0.0,Day,Day,Day,Day
96,124,2016-02-12 19:53:00,19.0,1.6,71.0,30.14,5.0,NW,24.2,0.0,Night,Night,Night,Night
119,125,2016-02-12 19:53:00,19.0,1.6,71.0,30.14,5.0,NW,24.2,0.0,Night,Night,Night,Night
120,126,2016-02-12 20:35:00,19.9,3.2,62.0,30.13,10.0,NW,23.0,0.0,Night,Night,Night,Night
121,127,2016-02-12 23:51:00,16.0,1.7,68.0,30.25,10.0,NW,13.8,0.0,Night,Night,Night,Night
122,128,2016-02-13 10:51:00,10.0,-4.5,44.0,30.54,10.0,NW,11.5,0.0,Day,Day,Day,Day
123,129,2016-02-13 10:56:00,8.1,-8.4,61.0,30.48,10.0,WNW,13.8,0.0,Day,Day,Day,Day
124,130,2016-02-13 10:52:00,7.0,-8.3,58.0,30.49,10.0,WNW,11.5,0.0,Day,Day,Day,Day
125,131,2016-02-13 10:56:00,10.9,-1.8,51.0,30.57,10.0,NW,9.2,0.0,Day,Day,Day,Day
126,132,2016-02-13 12:51:00,12.9,-3.4,43.0,30.53,10.0,NNW,16.1,0.0,Day,Day,Day,Day
127,133,2016-02-13 12:51:00,12.9,-3.4,43.0,30.53,10.0,NNW,16.1,0.0,Day,Day,Day,Day
128,134,2016-02-14 09:51:00,10.0,0.4,70.0,30.52,10.0,SE,5.8,0.0,Day,Day,Day,Day
129,135,2016-02-14 10:51:00,12.9,-0.2,65.0,30.5,10.0,SSE,10.4,0.0,Day,Day,Day,Day
130,136,2016-02-14 10:51:00,12.9,-0.2,65.0,30.5,10.0,SSE,10.4,0.0,Day,Day,Day,Day
42,137,2016-02-14 18:06:00,15.8,3.4,79.0,30.24,0.5,ESE,10.4,0.0,Night,Day,Day,Day
131,138,2016-02-14 19:15:00,17.6,0.0,86.0,30.23,1.0,Calm,0.0,0.0,Night,Night,Night,Day
132,139,2016-02-15 04:54:00,23.0,13.9,96.0,30.09,2.5,SSE,8.1,0.0,Night,Night,Night,Night
133,140,2016-02-15 05:03:00,23.0,13.9,92.0,29.97,1.5,SSE,8.1,0.0,Night,Night,Night,Night
134,141,2016-02-15 05:51:00,21.9,14.5,89.0,30.06,5.0,SE,5.8,0.0,Night,Night,Night,Night
135,142,2016-02-15 06:15:00,22.8,13.6,96.0,30.02,3.0,SSE,8.1,0.0,Night,Night,Day,Day
136,143,2016-02-15 07:01:00,23.0,15.8,86.0,30.03,3.0,SE,5.8,0.0,Night,Day,Day,Day
137,144,2016-02-15 06:56:00,23.0,15.8,96.0,30.03,0.2,SSE,5.8,0.0,Night,Day,Day,Day
138,145,2016-02-15 06:58:00,24.1,17.0,98.0,30.04,1.5,SSE,5.8,0.0,Night,Day,Day,Day
139,146,2016-02-15 07:20:00,24.8,17.9,100.0,30.01,1.5,SE,5.8,0.0,Night,Day,Day,Day
140,147,2016-02-15 07:38:00,24.8,0.0,100.0,30.04,1.5,SSW,2.3,0.0,Night,Day,Day,Day
141,148,2016-02-15 07:56:00,24.1,18.2,96.0,30.02,0.8,SE,4.6,0.0,Night,Day,Day,Day
142,149,2016-02-15 07:51:00,21.0,9.3,85.0,30.1,4.0,SSE,11.5,0.0,Day,Day,Day,Day
3,150,2016-02-15 07:56:00,24.1,18.2,96.0,30.02,0.8,SE,4.6,0.0,Day,Day,Day,Day
52,151,2016-02-15 07:53:00,26.1,17.6,92.0,30.01,4.0,South,8.1,0.0,Day,Day,Day,Day
143,152,2016-02-15 07:51:00,24.1,17.0,91.0,30.06,1.0,SE,5.8,0.01,Day,Day,Day,Day
144,153,2016-02-15 08:23:00,25.0,17.1,96.0,29.99,0.8,South,6.9,0.0,Day,Day,Day,Day
145,154,2016-02-15 07:51:00,24.1,17.0,91.0,30.06,1.0,SE,5.8,0.01,Day,Day,Day,Day
146,155,2016-02-15 08:03:00,23.0,15.8,85.0,30.03,2.0,SSE,5.8,0.0,Day,Day,Day,Day
147,156,2016-02-15 08:51:00,26.1,19.4,88.0,30.06,1.0,SSE,5.8,0.01,Day,Day,Day,Day
148,157,2016-02-15 08:58:00,27.0,23.0,98.0,30.04,2.5,SSW,3.5,0.0,Day,Day,Day,Day
149,158,2016-02-15 11:51:00,32.0,26.4,100.0,29.99,1.5,SSE,5.8,0.0,Day,Day,Day,Day
150,159,2016-02-15 12:54:00,32.0,24.8,85.0,29.99,5.0,South,8.1,0.0,Day,Day,Day,Day
149,160,2016-02-15 12:27:00,32.0,26.4,100.0,29.98,4.0,South,5.8,0.0,Day,Day,Day,Day
151,161,2016-02-15 12:51:00,30.9,23.5,89.0,29.99,2.0,South,8.1,0.0,Day,Day,Day,Day
152,162,2016-02-15 17:51:00,33.1,27.7,82.0,29.95,7.0,SSE,5.8,0.0,Day,Day,Day,Day
153,163,2016-02-15 18:35:00,33.6,30.6,94.0,29.86,7.0,East,3.5,0.0,Night,Day,Day,Day
154,164,2016-02-15 19:35:00,32.9,0.0,100.0,29.86,1.8,Calm,0.0,0.0,Night,Night,Night,Day
155,165,2016-02-15 20:52:00,32.0,26.4,100.0,29.88,0.5,ESE,5.8,0.0,Night,Night,Night,Night
96,166,2016-02-16 03:53:00,32.0,24.8,100.0,29.71,1.2,NW,8.1,0.04,Night,Night,Night,Night
156,167,2016-02-16 04:54:00,34.0,28.0,89.0,29.67,1.2,North,6.9,0.03,Night,Night,Night,Night
154,168,2016-02-16 05:15:00,32.2,25.8,100.0,29.7,3.0,NW,6.9,0.0,Night,Night,Night,Night
157,169,2016-02-16 05:35:00,32.0,26.4,99.0,29.69,2.5,NNW,5.8,0.0,Night,Night,Night,Night
96,170,2016-02-16 05:53:00,33.1,26.1,96.0,29.71,5.0,NNW,8.1,0.0,Night,Night,Night,Day
158,171,2016-02-16 05:53:00,33.1,26.1,96.0,29.71,5.0,NNW,8.1,0.0,Night,Night,Night,Day
159,172,2016-02-16 06:53:00,32.0,23.0,96.0,29.71,5.0,NNW,11.5,0.0,Night,Night,Day,Day
160,173,2016-02-16 06:51:00,32.0,23.6,92.0,29.71,2.0,NNW,10.4,0.01,Night,Night,Day,Day
161,174,2016-02-16 06:56:00,30.9,22.2,96.0,29.78,2.0,NW,10.4,0.0,Night,Night,Day,Day
131,175,2016-02-16 06:15:00,32.2,25.8,100.0,29.69,4.0,NNW,6.9,0.0,Night,Night,Day,Day
162,176,2016-02-16 06:51:00,32.0,24.8,92.0,29.73,1.8,North,8.1,0.02,Night,Night,Day,Day
163,177,2016-02-16 06:53:00,32.0,24.8,88.0,29.76,3.0,NW,8.1,0.0,Night,Night,Day,Day
164,178,2016-02-16 06:55:00,32.0,24.8,99.0,29.7,7.0,NW,8.1,0.0,Night,Night,Day,Day
165,179,2016-02-16 07:25:00,32.0,25.6,100.0,29.72,3.0,NNW,6.9,0.0,Night,Day,Day,Day
166,180,2016-02-16 07:15:00,32.0,23.6,99.0,29.71,7.0,NW,10.4,0.0,Night,Day,Day,Day
167,181,2016-02-16 07:25:00,32.0,25.6,100.0,29.72,3.0,NNW,6.9,0.0,Night,Day,Day,Day
168,182,2016-02-16 07:27:00,30.0,21.1,100.0,29.75,2.0,NNW,10.4,0.0,Day,Day,Day,Day
169,183,2016-02-16 07:53:00,32.0,24.2,96.0,29.75,3.0,NW,9.2,0.0,Day,Day,Day,Day
170,184,2016-02-16 07:52:00,30.0,21.1,100.0,29.73,5.0,NNW,10.4,0.0,Day,Day,Day,Day
85,185,2016-02-16 07:54:00,34.0,28.0,89.0,29.68,1.8,North,6.9,0.0,Day,Day,Day,Day
171,186,2016-02-16 07:51:00,32.0,24.8,88.0,29.75,5.0,NNW,8.1,0.0,Day,Day,Day,Day
172,187,2016-02-16 07:53:00,32.0,24.2,96.0,29.75,3.0,NW,9.2,0.0,Day,Day,Day,Day
173,188,2016-02-16 08:12:00,30.9,22.8,100.0,29.76,1.0,WNW,9.2,0.0,Day,Day,Day,Day
174,189,2016-02-16 08:47:00,32.0,28.7,100.0,29.77,2.5,NW,3.5,0.0,Day,Day,Day,Day
175,190,2016-02-16 08:41:00,30.0,23.2,96.0,29.79,1.5,NW,6.9,0.0,Day,Day,Day,Day
176,191,2016-02-16 08:51:00,32.0,24.8,88.0,29.78,4.0,NW,8.1,0.0,Day,Day,Day,Day
177,192,2016-02-16 08:35:00,32.0,26.4,97.0,29.76,3.0,NW,5.8,0.0,Day,Day,Day,Day
178,193,2016-02-16 08:53:00,32.0,26.4,96.0,29.78,2.5,NW,5.8,0.0,Day,Day,Day,Day
178,194,2016-02-16 10:00:00,33.1,24.9,92.0,29.77,2.5,WNW,10.4,0.0,Day,Day,Day,Day
179,195,2016-02-16 10:58:00,31.1,25.4,88.0,29.86,6.0,WNW,5.8,0.0,Day,Day,Day,Day
180,196,2016-02-16 11:29:00,30.9,22.8,76.0,29.81,6.0,WNW,9.2,0.0,Day,Day,Day,Day
181,197,2016-02-16 11:06:00,30.0,24.1,92.0,29.82,1.8,NW,5.8,0.0,Day,Day,Day,Day
182,198,2016-02-16 10:58:00,31.1,25.4,88.0,29.86,6.0,WNW,5.8,0.0,Day,Day,Day,Day
183,199,2016-02-16 10:58:00,31.1,25.4,88.0,29.86,6.0,WNW,5.8,0.0,Day,Day,Day,Day
158,200,2016-02-16 11:36:00,32.0,23.0,92.0,29.78,2.5,West,11.5,0.0,Day,Day,Day,Day
184,201,2016-02-16 13:54:00,35.1,27.9,89.0,29.81,2.0,WSW,9.2,0.0,Day,Day,Day,Day
185,202,2016-02-16 13:58:00,32.4,25.3,79.0,29.81,10.0,West,8.1,0.0,Day,Day,Day,Day
186,203,2016-02-16 16:51:00,32.0,24.2,75.0,29.82,7.0,WNW,9.2,0.0,Day,Day,Day,Day
187,204,2016-02-17 05:58:00,30.4,26.9,90.0,30.08,10.0,West,3.5,0.0,Night,Night,Night,Night
188,205,2016-02-17 05:56:00,30.0,23.2,88.0,30.07,6.0,WNW,6.9,0.0,Night,Night,Night,Night
189,206,2016-02-17 06:46:00,28.4,21.2,80.0,30.05,7.0,WNW,6.9,0.0,Night,Night,Day,Day
190,207,2016-02-17 06:37:00,30.9,27.5,91.0,30.07,7.0,West,3.5,0.0,Night,Night,Day,Day
191,208,2016-02-17 06:54:00,28.0,21.7,81.0,30.03,7.0,SW,5.8,0.0,Night,Night,Day,Day
192,209,2016-02-17 07:20:00,28.0,20.8,85.0,30.03,6.0,West,6.9,0.0,Night,Day,Day,Day
193,210,2016-02-17 07:06:00,30.0,24.1,82.0,30.07,5.0,West,5.8,0.0,Night,Day,Day,Day
85,211,2016-02-17 06:54:00,28.0,21.7,81.0,30.03,7.0,SW,5.8,0.0,Day,Day,Day,Day
194,212,2016-02-17 07:56:00,30.0,22.4,92.0,30.14,3.0,NW,8.1,0.0,Day,Day,Day,Day
195,213,2016-02-17 07:28:00,30.0,26.5,79.0,30.08,7.0,WSW,3.5,0.0,Day,Day,Day,Day
180,214,2016-02-17 07:53:00,30.0,25.2,85.0,30.12,3.0,West,4.6,0.0,Day,Day,Day,Day
196,215,2016-02-17 07:37:00,31.1,24.5,92.0,30.11,7.0,West,6.9,0.0,Day,Day,Day,Day
197,216,2016-02-17 07:44:00,30.2,23.4,75.0,30.08,5.0,West,6.9,0.0,Day,Day,Day,Day
198,217,2016-02-17 07:54:00,28.0,22.8,81.0,30.06,6.0,WSW,4.6,0.0,Day,Day,Day,Day
199,218,2016-02-17 07:58:00,30.7,24.9,90.0,30.14,4.0,WNW,5.8,0.0,Day,Day,Day,Day
57,219,2016-02-17 07:58:00,30.7,24.9,90.0,30.14,4.0,WNW,5.8,0.0,Day,Day,Day,Day
200,220,2016-02-17 07:50:00,28.4,21.2,80.0,30.02,6.0,WSW,6.9,0.0,Day,Day,Day,Day
201,221,2016-02-17 07:56:00,27.0,18.0,85.0,30.08,4.0,WSW,9.2,0.0,Day,Day,Day,Day
65,222,2016-02-17 08:15:00,30.0,21.1,82.0,30.05,6.0,WSW,10.4,0.0,Day,Day,Day,Day
202,223,2016-02-17 08:56:00,30.0,22.4,96.0,30.18,2.5,NW,8.1,0.0,Day,Day,Day,Day
48,224,2016-02-17 08:58:00,31.1,25.4,92.0,30.18,6.0,WNW,5.8,0.0,Day,Day,Day,Day
203,225,2016-02-17 09:56:00,32.0,26.4,88.0,30.2,4.0,West,5.8,0.0,Day,Day,Day,Day
204,226,2016-02-17 09:53:00,33.1,27.7,72.0,30.16,5.0,West,5.8,0.0,Day,Day,Day,Day
